"our_journal_name","scimago_title","sjr_score","quartile","h_index","subject_areas","open_access","match_type","match_score","paper_count"
"Biochimica et Biophysica Acta (BBA)","Biochimica et Biophysica Acta - Reviews on Cancer","2.885","Q1","166","Biochemistry, Genetics and Molecular Biology; Medicine","No","substring","0.95","4"
"Systematics and Biodiversity","Systematics and Biodiversity","0.64","Q2","53","Agricultural and Biological Sciences","No","exact","1.0","4"
"Genes","Genes","0.858","Q2","103","Biochemistry, Genetics and Molecular Biology; Medicine","Yes","exact","1.0","4"
"Island Arc","Island Arc","0.475","Q2","67","Earth and Planetary Sciences","No","exact","1.0","4"
"Ecotoxicology and Environmental Safety","Ecotoxicology and Environmental Safety","1.553","Q1","197","Environmental Science; Medicine","Yes","exact","1.0","4"
"Journal of Marine Science and Technology–Taiwan","Journal of Marine Science and Technology (Taiwan)","0.239","Q3","37","Earth and Planetary Sciences; Engineering","No","fuzzy","0.9195","4"
"Integrative Zoology:","Integrative Zoology","0.991","Q1","47","Agricultural and Biological Sciences","No","exact","1.0","4"
"Phuket Marine Biological Center Research Bulletin","Phuket Marine Biological Center Research Bulletin","0.163","Q4","9","Agricultural and Biological Sciences; Earth and Planetary Sciences","No","exact","1.0","4"
"Integrative Zoology","Integrative Zoology","0.991","Q1","47","Agricultural and Biological Sciences","No","exact","1.0","4"
"Micropaleontology","Micropaleontology","0.522","Q2","50","Earth and Planetary Sciences","No","exact","1.0","4"
"Estudios Geologicos","Estudios Geologicos","0.2","Q4","32","Earth and Planetary Sciences","Yes","exact","1.0","4"
"Journal of the Royal Society of New Zealand","Journal of the Royal Society of New Zealand","0.493","Q1","48","Multidisciplinary","No","exact","1.0","4"
"Andean Geology","Andean Geology","0.425","Q2","46","Earth and Planetary Sciences","Yes","exact","1.0","4"
"Revue de Paléobiologie","Revue de Paleobiologie","0.147","Q4","37","Agricultural and Biological Sciences; Earth and Planetary Sciences","Yes","exact","1.0","4"
"Journal of Fisheries of China","Journal of Fisheries of China","0.271","Q3","17","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","4"
"Terra","Terra","0.135","Q4","8","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science; Social Sciences","Yes","exact","1.0","4"
"Journal of the Acoustical Society of America","Journal of the Acoustical Society of America","0.702","Q1","221","Arts and Humanities; Physics and Astronomy","No","exact","1.0","4"
"American Naturalist","American Naturalist","1.265","Q1","236","Agricultural and Biological Sciences","No","exact","1.0","4"
"Deep-Sea Research Part I-Oceanographic Research Papers","Deep-Sea Research Part I: Oceanographic Research Papers","0.685","Q1","144","Agricultural and Biological Sciences; Earth and Planetary Sciences","No","exact","1.0","4"
"Environmental Conservation","Environmental Conservation","0.66","Q2","103","Environmental Science","No","exact","1.0","4"
"Geological Journal","Geological Journal (Ukraine)","0.313","Q3","5","Earth and Planetary Sciences","No","exact","1.0","4"
"Ocean Engineering","Ocean Engineering","1.394","Q1","151","Engineering; Environmental Science","No","exact","1.0","4"
"Gondwana Research","Gondwana Research","1.612","Q1","184","Earth and Planetary Sciences","No","exact","1.0","4"
"Indian Journal of Animal Research","Indian Journal of Animal Research","0.214","Q3","20","Agricultural and Biological Sciences; Veterinary","No","exact","1.0","4"
"Revista Chilena de Historia Natural","Revista Chilena de Historia Natural","0.296","Q2","46","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","4"
"Bulletin of the Zoological Survey of India","Bulletin of the Geological Survey of Finland","0.152","Q4","15","Earth and Planetary Sciences","Yes","fuzzy","0.8837","4"
"Foods","Foods","1.021","Q1","123","Agricultural and Biological Sciences; Health Professions; Immunology and Microbiology; Social Sciences","Yes","exact","1.0","4"
"Journal of Molecular Endocrinology","Journal of Molecular Endocrinology","1.287","Q1","115","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","4"
"Geologica Acta","Geologica Acta","0.418","Q2","54","Earth and Planetary Sciences","Yes","exact","1.0","4"
"Continental Shelf Research","Continental Shelf Research","0.709","Q1","135","Agricultural and Biological Sciences; Earth and Planetary Sciences","No","exact","1.0","4"
"Acta Micropalaeontologica Sinica","Acta Palaeontologica Sinica","0.261","Q4","8","Earth and Planetary Sciences","No","fuzzy","0.9153","4"
"Journal of Dental Research","Journal of Dental Research","1.839","Q1","223","Dentistry","No","exact","1.0","4"
"Studies on Neotropical Fauna and Environment","Studies on Neotropical Fauna and Environment","0.406","Q2","38","Agricultural and Biological Sciences","No","exact","1.0","4"
"Sains Malaysiana","Sains Malaysiana","0.233","Q2","47","Multidisciplinary","No","exact","1.0","4"
"Journal of the Geological Society","Journal of the Geological Society","1.096","Q1","135","Earth and Planetary Sciences","No","exact","1.0","4"
"Food and Chemical Toxicology","Food and Chemical Toxicology","0.801","Q1","215","Agricultural and Biological Sciences; Medicine; Pharmacology, Toxicology and Pharmaceutics","No","exact","1.0","4"
"Australian Zoologist","Australian Zoologist","0.428","Q2","35","Agricultural and Biological Sciences","No","exact","1.0","4"
"Carbohydrate Polymers","Carbohydrate Polymers","2.004","Q1","294","Chemistry; Materials Science","No","exact","1.0","4"
"Biochimie","Biochimie","0.884","Q2","162","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","4"
"Iheringia","Iheringia - Serie Botanica","0.198","Q4","21","Agricultural and Biological Sciences","Yes","substring","0.95","4"
"Austrian Journal of Earth Sciences","Austrian Journal of Earth Sciences","0.38","Q3","29","Earth and Planetary Sciences","Yes","exact","1.0","4"
"International Journal of Biochemistry","International Journal of Medical Biochemistry","0.134","Q4","5","Biochemistry, Genetics and Molecular Biology","Yes","fuzzy","0.9024","4"
"Journal of Trauma and Acute Care Surgery","Journal of Trauma and Acute Care Surgery","1.29","Q1","217","Medicine","No","exact","1.0","4"
"Global Ecology and Biogeography","Global Ecology and Biogeography","2.603","Q1","196","Agricultural and Biological Sciences; Environmental Science","No","exact","1.0","4"
"American Journal of Forensic Medicine and Pathology","American Journal of Forensic Medicine and Pathology","0.295","Q3","68","Medicine","No","exact","1.0","4"
"Zookeys","ZooKeys","0.583","Q1","66","Agricultural and Biological Sciences; Earth and Planetary Sciences","Yes","exact","1.0","3"
"Revue Suisse de Zoologie","Revue Suisse de Zoologie","0.475","Q2","30","Agricultural and Biological Sciences","No","exact","1.0","3"
"South African Journal of Zoology","South African Journal of Geology","0.502","Q2","59","Earth and Planetary Sciences","No","fuzzy","0.9375","3"
"Proceedings of the Zoological Society","Proceedings of the Zoological Society","0.284","Q3","20","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology","No","exact","1.0","3"
"Acta Ethologica","Acta Ethologica","0.412","Q2","37","Agricultural and Biological Sciences","No","exact","1.0","3"
"Austral Ecology","Austral Ecology","0.666","Q2","101","Agricultural and Biological Sciences; Environmental Science","No","exact","1.0","3"
"Marine Biological Journal","Marine Biological Journal","0.183","Q4","10","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","3"
"Development Genes and Evolution","Development Genes and Evolution","0.36","Q4","83","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","3"
"Vertebrate Zoology","Vertebrate Zoology","0.906","Q1","22","Agricultural and Biological Sciences","Yes","exact","1.0","3"
"Neuroscience Research","Neuroscience Research","0.856","Q2","113","Medicine; Neuroscience","Yes","exact","1.0","3"
"mAbs","mAbs","2.699","Q1","111","Immunology and Microbiology; Medicine","Yes","exact","1.0","3"
"Integrative And Comparative Biology","Integrative and Comparative Biology","0.713","Q1","144","Agricultural and Biological Sciences; Medicine","No","exact","1.0","3"
"Bulletin of the British Museum of Natural History (Geology)","Bulletin of the American Museum of Natural History","1.259","Q1","64","Agricultural and Biological Sciences; Environmental Science","Yes","fuzzy","0.8889","3"
"Journal of Experimental Medicine","Journal of Experimental Medicine","5.834","Q1","503","Immunology and Microbiology; Medicine","No","exact","1.0","3"
"Frontiers in Microbiology","Frontiers in Microbiology","1.172","Q1","259","Immunology and Microbiology; Medicine","Yes","exact","1.0","3"
"Papéis Avulsos de Zoologia","Papeis Avulsos de Zoologia","0.353","Q2","30","Agricultural and Biological Sciences","Yes","exact","1.0","3"
"Journal of Lipid Research","Journal of Lipid Research","1.66","Q1","230","Biochemistry, Genetics and Molecular Biology","Yes","exact","1.0","3"
"Journal of Theoretical Biology","Journal of Theoretical Biology","0.532","Q2","178","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Mathematics; Medicine","No","exact","1.0","3"
"Estudios Geológicos","Estudios Geologicos","0.2","Q4","32","Earth and Planetary Sciences","Yes","fuzzy","0.9474","3"
"Biodiversity","Biodiversity","0.336","Q3","32","Environmental Science","No","exact","1.0","3"
"Antiquity","Antiquity","0.896","Q1","93","Arts and Humanities; Social Sciences","No","exact","1.0","3"
"American Journal of Veterinary Research","American Journal of Veterinary Research","0.477","Q2","105","Medicine; Veterinary","Yes","exact","1.0","3"
"European Journal of Taxonomy","European Journal of Taxonomy","0.564","Q2","29","Agricultural and Biological Sciences","Yes","exact","1.0","3"
"European Journal of Pharmacology","European Journal of Pharmacology","1.197","Q1","210","Pharmacology, Toxicology and Pharmaceutics","No","exact","1.0","3"
"Proceedings of the Geologists Association","Proceedings of the Geologists' Association","0.391","Q2","50","Earth and Planetary Sciences","No","exact","1.0","3"
"Genome","Genome","0.677","Q2","111","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","3"
"Journal of Venomous Animals and Toxins Including Tropical Diseases","Journal of Venomous Animals and Toxins Including Tropical Diseases","0.524","Q2","44","Agricultural and Biological Sciences; Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics","Yes","exact","1.0","3"
"Brazilian Archives of Biology and Technology","Brazilian Archives of Biology and Technology","0.28","Q2","68","Multidisciplinary","Yes","exact","1.0","3"
"Journal of Comparative Pathology","Journal of Comparative Pathology","0.366","Q2","84","Medicine; Veterinary","No","exact","1.0","3"
"Geologica Bavarica","Geologica Balcanica","0.259","Q3","7","Earth and Planetary Sciences","No","fuzzy","0.8649","3"
"Plos Biology","PLoS Biology","2.691","Q1","316","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Neuroscience","Yes","exact","1.0","3"
"Contributions to Zoology","Contributions to Zoology","0.715","Q1","41","Agricultural and Biological Sciences","Yes","exact","1.0","3"
"Carbohydrate Research","Carbohydrate Research","0.423","Q3","153","Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine","No","exact","1.0","3"
"Mineralia Slovaca","Mineralia Slovaca","0.235","Q3","6","Earth and Planetary Sciences","Yes","exact","1.0","3"
"Revista de la Asociación Geológica Argentina","Revista de la Asociacion Geologica Argentina","0.234","Q3","48","Earth and Planetary Sciences","Yes","fuzzy","0.9545","3"
"Carnets De Geologie","Carnets de Geologie","0.708","Q1","22","Earth and Planetary Sciences","Yes","exact","1.0","3"
"Journal of Toxicology and Environmental Health","Journal of Toxicology and Environmental Health - Part B: Critical Reviews","2.185","Q1","104","Environmental Science; Pharmacology, Toxicology and Pharmaceutics","No","substring","0.95","3"
"Belgian Journal of Zoology","Belgian Journal of Zoology","0.324","Q3","35","Agricultural and Biological Sciences","No","exact","1.0","3"
"Journal of Clinical Investigation","Journal of Clinical Investigation","4.721","Q1","558","Medicine","Yes","exact","1.0","3"
"Genetics","Genetics","2.272","Q1","283","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","3"
"Revista De Biología Tropical","Revista de Biologia Tropical","0.278","Q2","50","Agricultural and Biological Sciences","Yes","fuzzy","0.9643","3"
"Microscopy and Microanalysis","Microscopy and Microanalysis","0.465","Q2","82","Physics and Astronomy","No","exact","1.0","3"
"Heliyon","Heliyon","0.644","Q1","115","Multidisciplinary","Yes","exact","1.0","3"
"Toxicology and Applied Pharmacology","Toxicology and Applied Pharmacology","0.91","Q2","195","Pharmacology, Toxicology and Pharmaceutics","No","exact","1.0","3"
"African Journal of Ecology","African Journal of Ecology","0.411","Q2","65","Agricultural and Biological Sciences","No","exact","1.0","3"
"Biological & Pharmaceutical Bulletin","Biological and Pharmaceutical Bulletin","0.541","Q2","139","Medicine; Pharmacology, Toxicology and Pharmaceutics","No","exact","1.0","3"
"Veterinary Sciences","Veterinary Sciences","0.653","Q1","38","Veterinary","Yes","exact","1.0","3"
"Biochimica et Biophysica Acta (BBA)/General Subjects","Biochimica et Biophysica Acta - General Subjects","0.767","Q2","187","Biochemistry, Genetics and Molecular Biology","No","fuzzy","0.9684","3"
"Food Research International","Food Research International","1.698","Q1","231","Agricultural and Biological Sciences","No","exact","1.0","3"
"Ichnos","Ichnos","0.451","Q2","45","Earth and Planetary Sciences","No","exact","1.0","3"
